"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.932234792E0,-2.567516486E0,-5.215539776E0,-4.190527550E0,7.166206612E0
2.942224792E0,-2.599259266E0,-5.244620903E0,7.883777475E-1,5.906245560E0
2.952213792E0,-1.160936090E0,-2.921067796E0,6.095676709E0,6.858402454E0
2.962203792E0,-2.098012405E-1,-1.936340547E-1,6.713171918E0,6.719240129E0
2.972192792E0,1.450743174E-1,1.307865436E0,4.974659050E0,5.145754679E0
2.982182792E0,3.919023932E-1,1.337392706E0,2.268325571E0,2.662237335E0
2.992172792E0,7.954148716E-1,1.299557712E0,2.201026458E-1,1.539474014E0
3.002161792E0,9.639477796E-1,1.328830628E0,-8.146323305E-1,1.832651629E0
3.012151792E0,1.019333410E0,1.156106801E0,-5.452054971E-1,1.634892220E0
3.022140792E0,1.006033480E0,5.310868102E-1,-1.194421705E-1,1.143863189E0
3.032130792E0,9.649583977E-1,-1.889001489E-2,-3.394437325E-1,1.023095103E0
3.042119792E0,9.647332799E-1,-3.063631099E-1,-7.754495537E-1,1.275104179E0
3.052109792E0,1.089561686E0,-4.960181344E-1,-1.469219937E0,1.895200749E0
3.062098792E0,1.306841881E0,-5.604339856E-1,-2.076891239E0,2.517021885E0
3.072088792E0,1.542050516E0,-5.009122539E-1,-2.306019062E0,2.818963780E0
3.082077792E0,1.721734137E0,-3.278563052E-1,-1.792711295E0,2.507124246E0
3.092067792E0,1.909259021E0,-1.720110512E-1,-7.181177504E-1,2.047083514E0
3.102057792E0,2.031006383E0,-2.777374810E-1,3.298005044E-1,2.076269108E0
3.112046792E0,2.147874536E0,-5.427134138E-1,7.422196810E-1,2.336405985E0
3.122036792E0,2.312306719E0,-8.459277982E-1,1.789328389E-1,2.468678424E0
3.132025792E0,2.698357292E0,-1.184237171E0,-1.334742894E0,3.234978878E0
