"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.768723292E0,8.185635890E0,-1.483007320E1,7.228040307E0,1.841684753E1
2.778711292E0,1.341587030E1,-2.394503807E1,1.043954574E0,2.746707602E1
2.788699292E0,1.367902191E1,-4.012647532E1,5.150704679E0,4.270573053E1
2.798687292E0,2.352144822E-2,-5.376069936E1,1.524933962E1,5.588162227E1
2.808675292E0,-1.274760606E1,-4.691603760E1,9.421143202E0,4.952144973E1
2.818663292E0,-1.221119068E0,-3.441954372E1,8.666804436E0,3.551492110E1
2.828651292E0,9.300802826E0,-2.508294833E1,1.140146943E1,2.908010893E1
2.838639292E0,1.234215896E1,-2.052205464E1,9.413738288E0,2.573134436E1
2.848627292E0,9.819381273E0,-1.812092360E1,4.957670549E0,2.119826922E1
2.858616292E0,7.653678430E0,-1.759034725E1,6.301339656E-1,1.919364943E1
2.868604292E0,5.811627159E0,-1.671026411E1,-2.040556202E0,1.780931797E1
2.878592292E0,2.816907250E0,-1.505797077E1,-3.826147782E0,1.578977065E1
2.888580292E0,-1.203417500E0,-1.161037407E1,-4.313292912E-1,1.168054129E1
2.898568292E0,-3.504995601E0,-8.375147658E0,1.620043017E0,9.222398378E0
2.908556292E0,-2.921372436E0,-4.303689884E0,2.343141865E0,5.704952000E0
2.918544292E0,7.457994926E-1,-9.131976753E-1,1.142813741E0,1.642001865E0
2.928532292E0,-9.246283972E-1,1.955621740E0,1.096648219E0,2.425289958E0
2.938520292E0,-2.560666765E0,4.510656175E0,-2.386832845E0,5.709641358E0
2.948508292E0,-3.066279596E0,4.459241608E0,7.738146722E-2,5.412291028E0
2.958496292E0,-2.772063199E0,4.846726649E0,5.686110243E0,7.969124374E0
2.968484292E0,3.852508199E-1,7.655878152E0,1.020733468E1,1.276520935E1
2.978472292E0,2.724465987E0,9.177127783E0,1.466226279E1,1.751069215E1
2.988460292E0,2.916830903E-1,7.295059923E0,1.114616830E1,1.332441541E1
2.998448292E0,-5.150945585E0,6.673375769E0,1.729233338E0,8.605604715E0
3.008436292E0,-7.805699605E0,8.880867493E0,-6.037922006E0,1.327611599E1
3.018424292E0,-8.395767864E0,1.085849932E1,-9.399675150E0,1.663579930E1
3.028412292E0,-7.219137336E0,1.177785704E1,-8.724549783E0,1.633865445E1
3.038400292E0,-5.254543043E0,1.195844712E1,-6.435684698E0,1.456134327E1
3.048388292E0,-4.332853749E0,1.159229916E1,-3.806040961E0,1.294762408E1
3.058376292E0,-4.457638886E0,1.038414044E1,-1.785857189E0,1.144072564E1
3.068364292E0,-5.331649107E0,9.619826912E0,-1.222308684E0,1.106623651E1
3.078352292E0,-5.064024385E0,9.008249670E0,-1.208222596E0,1.040445611E1
3.088340292E0,-3.588792341E0,8.597604977E0,-2.023200058E0,9.533707584E0
3.098328292E0,-2.139734920E0,8.760524778E0,-2.964432501E0,9.492793054E0
3.108316292E0,-8.848294701E-1,9.283564650E0,-3.574306449E0,9.987149863E0
3.118304292E0,-8.376019478E-2,9.886699097E0,-3.699800561E0,1.055662631E1
3.128292292E0,-8.109064847E-2,1.035235966E1,-3.328524002E0,1.087460336E1
3.138280292E0,-5.976697858E-1,1.053845899E1,-2.761624750E0,1.091067818E1
3.148268292E0,-1.176509052E0,1.043368741E1,-2.260442939E0,1.074037284E1
3.158256292E0,-1.503675678E0,1.004858979E1,-1.850659249E0,1.032763946E1
